filename,relevant_description
clim-jcli4218.1.txt,"['Both during the first rainy season in spring and the monsoon season in summer, the nocturnal jet brings moisture in the boundary layer north of the ITCZ favoring humidification and initiation of new convective cells, helping the northward progression of the ITCZ.', 'The ITF delineates the boundary between the moist southwesterly monsoon winds on the south from the dry northeasterly Harmattan winds on the north (Hastenrath 1995; Sultan and Janicot 2003).', 'Rainfall over West Africa is linked to the meridional migration of the intertropical convergence zone (ITCZ). Following the migration of the sun the monsoon develops during the northern spring and summer, bringing the ITCZ and the associated rainfall maxima to their northern location in August (Hastenrath 1995).', 'This jet has a southwesterly component and brings moisture north of the ITCZ favoring humidification of the boundary layer and initiation of new convection cells, leading to the northward progression of the ITCZ.', 'At the end of the summer the southward return of the ITCZ is associated with the disappearance of the core of the monsoon jet.']"
Climat de la Côte d'Ivoire — Wikipédia.txt,"[""Le climat de la Côte d'Ivoire a connu de nombreuses fluctuations depuis les années 1950. Les années 1950 et 1960 ont été relativement humides, tandis que les années 1970 à 2020 ont été relativement sèches avec peu d'événements humides."", ""La quantité moyenne de précipitations diminue d'environ 7 % par rapport à la moyenne climatique (de référence) des années 1961-1990."", 'Les températures moyennes mensuelles qui étaient de 26,5 °C dans les années 1960 à 1975, sont passées à 27,4 °C dès les années 2000, soit une hausse d’environ 1 °C en 25 ans*.', ""La Côte d'Ivoire connaît généralement des variations importantes de température entre le Nord et le Sud, mais également sur le long de l’année en fonction des saisons."", ""La zone considérée est caractérisée par la présence intermittente entre les mois de décembre et février de l'harmattan, vent frais et sec."", 'Les températures oscillent autour de 28 °C en moyenne.', 'Deux grandes zones climatiques se côtoient: le climat équatorial et le climat tropical de savane, lui-même plus ou moins sec.', ""Le climat ivoirien, généralement chaud et humide, constitue dès lors une transition entre l’équatorial et le tropical. Equatorial le long des côtes et semi-aride à l'extrême Nord."", 'Il peut être classifié en quatre avec un climat équatorial dans la partie sud, un climat de montagne dans la partie ouest, un climat tropicale de savane humide dans la partie centrale et un climat tropicale de savane sec dans la partie nord du pays.']"
Climate change Cote d'Ivoire.txt,[]
"Côte d’Ivoire - Precolonial Kingdoms, Ethnic Groups, Trade _ Britannica.txt","['The dry season is influenced by the dry continental air mass known as the harmattan, which blows from the northeast beginning in December and ending in February.', 'North of approximately 8° N latitude, the southern savanna type of climate prevails. The dry season lasts from about November to March. A single rainy season from April to October produces annual precipitation totals ranging from around 45 inches (1,100 mm) in the northeast and centre to approximately 60 inches (1,500 mm) in the northwest. The northern region is drier than the rest of the country and, because of the elevation, somewhat cooler. South of 8° N latitude, two rainy seasons occur, and three climatic subdivisions may be discerned. Rain falls largely from May through July and to a lesser extent in October and November along the coast. Annual precipitation averages 79 inches (1,900 mm) of precipitation annually, although considerable variations are experienced at different places along the coast. Average monthly temperature variation is small, and diurnal temperatures range from around the low 70s F (low 20s C) to the low 90s F (mid-30s C). In the forest zones and in the southern part of the savanna region, the rainy seasons are less pronounced. Diurnal temperatures vary between around the low 60s and low 100s F (mid-10s and upper 30s C), and the relative humidity is often high. On the mountains farther west there is no dry season, and precipitation amounts to about 80 inches (2,000 mm).']"
DGA1590.txt,"['The West African climate is influenced by local phenomena, the most relevant of which are the West African monsoon [1]-[6], the Harmattan and the Inter-Tropical Convergence Zone (ITCZ) displacement [7] [8], as well as convection phenomena.', 'Winds in wet and dry years at Bingerville and at La Mé station do not show any significant particularities in terms of speed or direction.', 'The surface winds in Bingerville are dominated by monsoon winds throughout the year, unlike the winds in La Mé, which are made up of monsoon and harmattan winds.', 'At La Mé station, the winds are fairly varied. Winds come from several directions throughout the year and some are very low. On average, La Mé station records almost 59.8% monsoon winds, around 11.1% calm winds and 30.1% harmattan winds during DJFM (Figure 10, from panel Figures 10(a)-(j)) followed by 49.7% monsoon winds in AMJJ (Figure 11, from panel Figures 11(a)-(j)), 15.4% calm winds and 34.9% harmattan winds, showing a decrease in monsoon winds in the dry season.', 'However, in Bingerville the data show that the rainy season begins in April and ends in November both in wet_years and dry_years.', 'Temperatures in wet (Figures 6(a)-(e)) and dry (Figures 6(f)-(j)) years show no major distinction at Bingerville, unlike La Mé station (Figures 7(a)-(j)), which shows a slight rise in temperature in the dry season.', 'the wind rose for Bingerville (not shown in this paper) shows that over the period 2010-2019, the winds blowing in this area are predominantly southwesterlies. In fact, more than 80% of the winds blow almost all year (in both the DJFM and AMJJ) in this direction.', 'The results show that the climate in this region has been subject to strong interannual variability, with a succession of dry and wet periods.', 'It can be seen that the rainy season in wet years at La Mé station generally begins in April and ends in November, with a marked break in august. In dry years, however, the rainy season starts in May. There is therefore a delay in the rainy season in dry years.', 'The two communes are subject to the sub-equatorial climate, which is rather humid and has four seasons: a dry season, generally between december and march, a long rainy season from April to July, a short dry season from August to September and a short rainy season from October to November.', 'The data also show that La Mé station generally has a higher surface temperature than Bingerville station throughout the year and during period 2010-2019', 'the annual variability in the temperature cycle is more marked at La Mé than in Bingerville.', 'At La Mé station, wet years have higher relative humidity values than dry years, more specifically from January to April (Figure 9). On the other hand, at Bingerville, wet and dry years generally show fairly similar seasonal variations in humidity.', 'When it comes to monthly relative humidity, for the same period 2010 to 2019 at Bingerville it varies between 81.4% in January and 84.8% in august. Over la Mé station, it ranges from 77.5% in January to 85.2% in august.', 'Average monthly temperatures at La Mé station range from 25.4°C (august) to 28.9°C (march). In Bingerville, they range from 25.2°C (august) to 27.1°C (march).', 'The results also showed that monthly temperatures and monthly relative humidity mean follow a similar pattern, but with a bias towards the January to March period in general.']"
Geophysical Research Letters - 2000 - Sultan - Abrupt shift of the ITCZ over West Africa and intra‐seasonal variability.txt,"['The abruptness of the northward progression of the ITCZ is in sharp contrast to its withdrawal, which appears as a more orderly southward progression.', 'The onset of the monsoon system over West Africa is linked to the northward migration of the Inter-Tropical Convergence Zone (ITCZ) during the northern spring and summer.', 'By using daily gridded rainfall data and NCEP/NCAR wind reanalyses over the period 1968-1990, we show that this migration is characterised by an abrupt latitudinal shift of the ITCZ in late June from a quasi-stationary location at 5N in May-June to another quasi-stationary location at 10N in July-August.', 'This abrupt shift of the ITCZ is highlighted when computing a time-latitude diagram of daily rainfall values averaged over the longitudes 10W-10E.', 'The enhancement of the monsoon winds is consistent with the simultaneous northward shift of the ITCZ.', 'Rainfall over West Africa is controlled by the advection of moisture from the Gulf of Guinea in the low-levels of the atmosphere. Following the seasonal excursion of the Sun, the monsoon develops over this part of the African continent during the northern spring and summer, bringing the Inter-Tropical Convergence Zone (ITCZ) and the associated rainfall maxima to their northernmost location in August.']"
giz-fact-sheet-arbeiten-cote-d-ivoire-en.txt,"['Côte d’Ivoire’s geographical latitude close to the equator (between 4°N and approximately 10°N) means that the entire country lies within the tropical climate zone. The climate is characterised by changing levels of humidity over the course of the year (alternating between rainy and dry seasons). The West African monsoon controls the amount of rainfall along the coast by way of humid air masses that bring rain to these areas almost all year long, whereas further north it is responsible for the rainy season in summer. The climate in coastal areas is therefore humid and tropical, and becomes drier towards the north.']"
giz_climate-risk-profile-cote-d2019ivoire_en_final_2.txt,[]
GIZ_Climate-Risk-Profile-Cote-dIvoire_EN_FINAL_2.txt,[]
hydrology-10-00104-v3.txt,[]
"Ivory Coast climate_ average weather, temperature, rain, when to go.txt","[""In the former capital, Abidjan, located in the eastern part of the coast, 1,500 mm (60 in) of rain fall per year, with a maximum in May and in June, while there's a fairly sharp decline between July and August, and a recovery between September and November."", 'In the capital, Yamoussoukro, located in the center-south of the country, the climate is similar to that of Korhogo; however, being more to the south, the rains begin a little earlier, and already in March, 115 mm (4.5 in) of rain fall, while there is a certain decrease in rainfall in July and August, with about 90 mm (3.5 in) per month. Rainfall amounts to almost 1,200 mm (47 in) per year.', 'By February, the temperature begins to rise in inland areas, and it can reach 40 °C (104 °F). On the coast, the temperature is more stable, even though air humidity increases, making it feel more uncomfortable.', 'In Abidjan, the warmest months are February and March, while the coolest is August.', 'In Tabou, where 2,300 mm (90 in) of rain fall per year, after a peak of 380 mm (15 in) in May and 500 mm (20 in) in June, the rainfall decreases to 190 mm (7.5 in) in July and 150 mm (6 in) in August, before rebounding to 265 mm (10.4 in) in September.', 'While in the north the rains reach their peak between July and September, in the center-south and along the coast, there is a decrease in rainfall, especially in August in the central and eastern part of the coast. After this period, from September to November, the rains resume without reaching again the peaks of May and June. However, along the coast, the sky remains cloudy even in this period.', 'In the western part of the coast, the amount of sunshine is not great, and it is lower than in Abidjan.', ""Rainfall is more abundant on the coast, where it's between 1,500 and 2,500 millimeters (60 and 100 inches) per year, while in inland areas, it's generally less intense and ranges from 1,200 to 1,500 mm (47 to 60 in) per year, even though it reaches 2,000 mm (80 in) in the small western mountainous area."", 'The period from June to September is also the one with the lowest daytime temperatures, which drop to around 30 °C (86 °F) in inland areas and to 28 °C (82 °F) on the coast; on the other hand, the humidity is high everywhere, bringing a sticky feeling to the air, although sea breezes give some relief along the coast.', 'In late October and November, with the end of the rainy season, the temperatures begin to rise again in the center and north, while the rains continue to fall on the coast.', 'In April, showers become more frequent along the coast, while in the north, it is still very hot. Between April and May, the rains begin across the country, but they become really heavy only along the coast, where more than 200 mm (8 in) fall per month in May and June, and even 400 mm (16 in) in some areas. Cloudiness too, is more frequent and compact in the south and along the coast, while in the north, there can also be periods of good weather.', 'In Ivory Coast, the climate is tropical, with a dry season from December to February and a rainy season from April to October due to the African monsoon.', 'In the northern city of Korhogo, the hottest months are March and April, with a daily average of 30 °C (86 °F). Precipitation amounts to 1,200 mm (47 in) per year.', 'Along the coast, the temperatures are more stable over the seasons compared with the interior. As regards to the rainfall, as mentioned, it is more abundant than in the rest of the country. Furthermore, there is a difference between the areas, given that the western part of the coast is rainier than the eastern one.', 'In the western part of the coast, the rains are more abundant, and the decrease during the summer is not so noticeable.', 'Along the coast, the humidity is higher, and a few showers may still occur in winter, especially in the western part, and particularly in December, when the sea is a bit warmer and evaporation is higher. Sometimes, nights can be cool in the interior, where lows can drop to around 10 °C (50 °F). At other times, it can get very hot during the day, with peaks around 38/40 °C (100/104 °F), while on the coast the temperatures reach 34/35 °C (93/95 °F), when the wind from the desert manages to arrive there.', ""During winter, the weather is good and the temperatures are high throughout the country, even in December and January, when the maximum temperatures are around 31/32 °C (88/90 °F) on the coast, and 33/34 °C (91/93 °F) in inland areas. In the interior, the humidity is low, since the prevailing wind, the Harmattan, blows from the desert, and it's able to raise dust, which can veil the sky and create a characteristic mist.""]"
RainfallVariabilityinWesternCtedIvoire_ajwr_Lereyaha.txt,"['In the Montagnes District, annual rainfall reaches up to 1,984 mm in Danané, with a relatively constant humidity (98%) throughout the year.', 'Results from the change-point tests indicate no statistically significant discontinuities in the rainfall time series. However, trend analyses suggest a non-significant overall decline in precipitation across all monitoring stations. Notably, a marked reduction in monthly rainfall totals during May and June was observed, potentially offset by increased precipitation from August to October. Decadal analysis of annual cumulative rainfall over six decades reveals that precipitation consistently exceeded 1,000 mm, except at the Kouibly and Semien stations, where totals ranged from 922 mm to 981 mm during the decades 1971-1980, 1991-2000, and 2011-2020. Spatial analysis of rainfall isohyets highlights a heterogeneous distribution across the district, with rainfall patterns exhibiting an East—West gradient.', 'The analysis of decadal average values (1961-2020) reveals an unequal spatial distribution of rainfall across the Montagnes District (Figure 3). An increase in annual rainfall heights is observed from east to west, with three major zones: areas of high precipitation, moderate precipitation, and minimal precipitation. This spatial distribution highlights two major high-rainfall zones, namely the Danané and Tai areas, where the rainfall isohyet consistently exceeds 1,500 mm. This is followed by a transitional or moderate precipitation zone, where average rainfall ranges between 1,500 mm and 1,300 mm. In contrast, low annual rainfall heights (1,250 mm to 1,000 mm) are observed in the extreme northeast.']"
Reviews of Geophysics - 2020 - Geen - Monsoons  ITCZs  and the Concept of the Global Monsoon.txt,[]
s00382-018-4522-7.txt,[]
s41598-020-69159-9.txt,[]
